Binomial_iucn,Order,Family,Genus,Species,Common_name,Activity_DD,Activity_IM,Activity_source,Flexible_DD,Flexible_IM,Flexible_source,,
Antechinus minimus,Dasyuromorphia,Dasyuridae,Antechinus,minimus,Swamp Antechinus,Crepuscular,Crepuscular,1,1,1,1,,
Antechinus stuartii,Dasyuromorphia,Dasyuridae,Antechinus,stuartii,Brown Antechinus,Nocturnal,Nocturnal,1,1,1,1,,
Antechinus subtropicus,Dasyuromorphia,Dasyuridae,Antechinus,subtropicus,Subtropical Antechinus,Nocturnal,Nocturnal,1,1,1,1,,
Antechinus swainsonii,Dasyuromorphia,Dasyuridae,Antechinus,swainsonii,Dusky Antechinus,Cathemeral,Cathemeral,1,0,0,1,,
Anthops ornatus,Chiroptera,Hipposideridae,Anthops,ornatus,Solomons Leaf-nosed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Antidorcas marsupialis,Cetartiodactyla,Bovidae,Antidorcas,marsupialis,Springbok,Cathemeral,Cathemeral,13,0,0,1,,
Antilocapra americana,Cetartiodactyla,Antilocapridae,Antilocapra,americana,Pronghorn,Cathemeral,Cathemeral,1,0,0,1,,
Antilope cervicapra,Cetartiodactyla,Bovidae,Antilope,cervicapra,Blackbuck,Diurnal,Diurnal,1,0,0,1,,
Antrozous pallidus,Chiroptera,Vespertilionidae,Antrozous,pallidus,Pallid Bat,Nocturnal,Nocturnal,1,0,0,1,,
Aonyx capensis,Carnivora,Mustelidae,Aonyx,capensis,African Clawless Otter,Nocturnal,Nocturnal,1,1,1,1,,
Aonyx cinereus,Carnivora,Mustelidae,Aonyx,cinereus,Asian Small-clawed Otter,Diurnal,Diurnal,1,1,1,1,,
Aonyx congicus,Carnivora,Mustelidae,Aonyx,congicus,Congo Clawless Otter,Nocturnal,Nocturnal,1,1,1,1,,
Aotus azarae,Primates,Aotidae,Aotus,azarae,Azarae Night Monkey,Nocturnal,Nocturnal,1,1,1,41,,
Aotus brumbacki,Primates,Aotidae,Aotus,brumbacki,Mico De Noche Llanero,Nocturnal,Nocturnal,1,0,0,1,,
Aotus griseimembra,Primates,Aotidae,Aotus,griseimembra,Grey-handed Night Monkey,Nocturnal,Nocturnal,1,0,0,1,,
Aotus jorgehernandezi,Primates,Aotidae,Aotus,jorgehernandezi,Hern's Night Monkey,Nocturnal,Nocturnal,1,0,0,1,,
Aotus lemurinus,Primates,Aotidae,Aotus,lemurinus,Colombian Night Monkey,Nocturnal,Nocturnal,1,0,0,1,,
Aotus miconax,Primates,Aotidae,Aotus,miconax,Andean Night Monkey,Nocturnal,Nocturnal,1,0,0,1,,
Aotus nancymaae,Primates,Aotidae,Aotus,nancymaae,Nancy Ma's Night Monkey,Nocturnal,Nocturnal,1,0,0,1,,
Aotus nigriceps,Primates,Aotidae,Aotus,nigriceps,Black-headed Night Monkey,Nocturnal,Nocturnal,1,0,0,1,,
Aotus trivirgatus,Primates,Aotidae,Aotus,trivirgatus,Northern Night Monkey,Nocturnal,Nocturnal,1,0,0,1,,
Aotus vociferans,Primates,Aotidae,Aotus,vociferans,Spix's Night Monkey,Nocturnal,Nocturnal,1,0,0,1,,
Aotus zonalis,Primates,Aotidae,Aotus,zonalis,Panamanian Night Monkey,Nocturnal,Nocturnal,1,0,0,1,,
Aplodontia rufa,Rodentia,Aplodontiidae,Aplodontia,rufa,Mountain Beaver,Cathemeral,Cathemeral,1,0,0,1,,
Apodemus agrarius,Rodentia,Muridae,Apodemus,agrarius,Striped Field Mouse,Diurnal,Diurnal,1,1,1,1,,
Apodemus argenteus,Rodentia,Muridae,Apodemus,argenteus,Small Japanese Field Mouse,Nocturnal,Nocturnal,2,1,1,1,,
Apodemus avicennicus,Rodentia,Muridae,Apodemus,avicennicus,Persian Wood Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Apodemus chevrieri,Rodentia,Muridae,Apodemus,chevrieri,Chevrier's Field Mouse,Diurnal,Diurnal,1,0,0,1,,
Apodemus draco,Rodentia,Muridae,Apodemus,draco,South China Field Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Apodemus epimelas,Rodentia,Muridae,Apodemus,epimelas,Western Broad-toothed Field Mouse,Nocturnal,Nocturnal,1,1,1,1,,
Apodemus hyrcanicus,Rodentia,Muridae,Apodemus,hyrcanicus,Hyrcanian Field Mouse,Nocturnal,Nocturnal,2,1,1,1,,
Apodemus latronum,Rodentia,Muridae,Apodemus,latronum,Large-eared Field Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Apodemus mystacinus,Rodentia,Muridae,Apodemus,mystacinus,Eastern Broad-toothed Field Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Apodemus pallipes,Rodentia,Muridae,Apodemus,pallipes,Himalayan Field Mouse,NA,Nocturnal,Imputed,NA,0,Imputed,,
Apodemus peninsulae,Rodentia,Muridae,Apodemus,peninsulae,Korean Field Mouse,Nocturnal,Nocturnal,1,1,1,1,,
Apodemus ponticus,Rodentia,Muridae,Apodemus,ponticus,Black Sea Field Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Apodemus rusiges,Rodentia,Muridae,Apodemus,rusiges,Kashmir Field Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Apodemus semotus,Rodentia,Muridae,Apodemus,semotus,Taiwan Field Mouse,Nocturnal,Nocturnal,2,1,1,1,,
Apodemus speciosus,Rodentia,Muridae,Apodemus,speciosus,Large Japanese Field Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Apodemus witherbyi,Rodentia,Muridae,Apodemus,witherbyi,Steppe Field Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Apomys abrae,Rodentia,Muridae,Apomys,abrae,Luzon Cordillera Apomys,Nocturnal,Nocturnal,1,0,0,1,,
Apomys camiguinensis,Rodentia,Muridae,Apomys,camiguinensis,Camiguin Forest Mouse,NA,Nocturnal,Imputed,NA,0,Imputed,,
Apomys datae,Rodentia,Muridae,Apomys,datae,Northern Luzon Apomys,Nocturnal,Nocturnal,1,0,0,1,,
Apomys gracilirostris,Rodentia,Muridae,Apomys,gracilirostris,Large Mindoro Apomys,Nocturnal,Nocturnal,2,0,0,1,,
Apomys hylocetes,Rodentia,Muridae,Apomys,hylocetes,Mindanao Mossy Forest Apomys,Nocturnal,Nocturnal,2,0,0,1,,
Apomys insignis,Rodentia,Muridae,Apomys,insignis,Mindanao Montane Forest Mouse,Nocturnal,Nocturnal,2,0,0,1,,
Apomys littoralis,Rodentia,Muridae,Apomys,littoralis,Mindanao Lowland Apomys,Nocturnal,Nocturnal,2,0,0,1,,
Apomys microdon,Rodentia,Muridae,Apomys,microdon,Small Luzon Apomys,Nocturnal,Nocturnal,1,0,0,1,,
Apomys musculus,Rodentia,Muridae,Apomys,musculus,Least Philippine Apomys,Nocturnal,Nocturnal,1,1,1,1,,
Apomys sacobianus,Rodentia,Muridae,Apomys,sacobianus,Long-nosed Luzon Apomys,Nocturnal,Nocturnal,1,1,1,1,,
Aproteles bulmerae,Chiroptera,Pteropodidae,Aproteles,bulmerae,Bulmer's Fruit Bat,Nocturnal,Nocturnal,1,0,0,1,,
Arabitragus jayakari,Cetartiodactyla,Bovidae,Arabitragus,jayakari,Arabian Tahr,Cathemeral,Cathemeral,1,0,0,1,,
Arborimus albipes,Rodentia,Cricetidae,Arborimus,albipes,White-footed Vole,Nocturnal,Nocturnal,1,0,0,1,,
Arborimus longicaudus,Rodentia,Cricetidae,Arborimus,longicaudus,Red Tree Vole,Nocturnal,Nocturnal,1,0,0,1,,
Arborimus pomo,Rodentia,Cricetidae,Arborimus,pomo,Sonoma Tree Vole,Nocturnal,Nocturnal,1,0,0,1,,
Archboldomys luzonensis,Rodentia,Muridae,Archboldomys,luzonensis,Isarog Shrew Mouse,Diurnal,Diurnal,1,0,0,1,,
Arctictis binturong,Carnivora,Viverridae,Arctictis,binturong,Binturong,Cathemeral,Cathemeral,1,0,0,1,,
Arctocebus aureus,Primates,Lorisidae,Arctocebus,aureus,Golden Angwantibo,Nocturnal,Nocturnal,1,0,0,1,,
Arctocebus calabarensis,Primates,Lorisidae,Arctocebus,calabarensis,Calabar Angwantibo,Nocturnal,Nocturnal,1,0,0,1,,
Arctogalidia trivirgata,Carnivora,Viverridae,Arctogalidia,trivirgata,Small-toothed Palm Civet,Nocturnal,Nocturnal,1,0,0,1,,
Arctonyx albogularis,Carnivora,Mustelidae,Arctonyx,albogularis,Northern Hog Badger,Cathemeral,Cathemeral,17,0,0,1,,
Arctonyx collaris,Carnivora,Mustelidae,Arctonyx,collaris,Greater Hog Badger,Cathemeral,Cathemeral,17,1,1,1,,
Arctonyx hoevenii,Carnivora,Mustelidae,Arctonyx,hoevenii,Sumatran Hog Badger,Cathemeral,Cathemeral,1,0,0,1,,
Ardops nichollsi,Chiroptera,Phyllostomidae,Ardops,nichollsi,Tree Bat,Nocturnal,Nocturnal,1,0,0,1,,
Arielulus aureocollaris,Chiroptera,Vespertilionidae,Arielulus,aureocollaris,Collared Sprite,Nocturnal,Nocturnal,1,0,0,1,,
Arielulus circumdatus,Chiroptera,Vespertilionidae,Arielulus,circumdatus,Bronze Sprite,Nocturnal,Nocturnal,1,0,0,1,,
Arielulus cuprosus,Chiroptera,Vespertilionidae,Arielulus,cuprosus,Coppery Sprite,Nocturnal,Nocturnal,1,0,0,1,,
Arielulus societatis,Chiroptera,Vespertilionidae,Arielulus,societatis,Social Sprite,Nocturnal,Nocturnal,1,0,0,1,,
Arielulus torquatus,Chiroptera,Vespertilionidae,Arielulus,torquatus,Necklace Sprite,Nocturnal,Nocturnal,1,0,0,1,,
Ariteus flavescens,Chiroptera,Phyllostomidae,Ariteus,flavescens,Jamaican Fig-eating Bat,Nocturnal,Nocturnal,1,0,0,1,,
Artibeus amplus,Chiroptera,Phyllostomidae,Artibeus,amplus,Large Fruit-eating Bat,Nocturnal,Nocturnal,1,0,0,1,,
Artibeus concolor,Chiroptera,Phyllostomidae,Artibeus,concolor,Brown Fruit-eating Bat,Nocturnal,Nocturnal,1,0,0,1,,
Artibeus fimbriatus,Chiroptera,Phyllostomidae,Artibeus,fimbriatus,Fringed Fruit-eating Bat,Nocturnal,Nocturnal,1,0,0,1,,
Artibeus fraterculus,Chiroptera,Phyllostomidae,Artibeus,fraterculus,Fraternal Fruit-eating Bat,Nocturnal,Nocturnal,1,0,0,1,,
Artibeus hirsutus,Chiroptera,Phyllostomidae,Artibeus,hirsutus,Hairy Fruit-eating Bat,Nocturnal,Nocturnal,1,0,0,1,,
Artibeus inopinatus,Chiroptera,Phyllostomidae,Artibeus,inopinatus,Honduran Fruit-eating Bat,Nocturnal,Nocturnal,1,0,0,1,,
Artibeus jamaicensis,Chiroptera,Phyllostomidae,Artibeus,jamaicensis,Jamaican Fruit-eating Bat,Nocturnal,Nocturnal,1,0,0,1,,
Artibeus lituratus,Chiroptera,Phyllostomidae,Artibeus,lituratus,Great Fruit-eating Bat,Nocturnal,Nocturnal,1,0,0,1,,
Artibeus obscurus,Chiroptera,Phyllostomidae,Artibeus,obscurus,Dark Fruit-eating Bat,Nocturnal,Nocturnal,1,0,0,1,,
Artibeus planirostris,Chiroptera,Phyllostomidae,Artibeus,planirostris,Flat-faced Fruit-eating Bat,Nocturnal,Nocturnal,1,0,0,1,,
Artibeus schwartzi,Chiroptera,Phyllostomidae,Artibeus,schwartzi,Unknown,Nocturnal,Nocturnal,1,0,0,1,,
Arvicanthis abyssinicus,Rodentia,Muridae,Arvicanthis,abyssinicus,Abyssinian Grass Rat,Diurnal,Diurnal,1,0,0,1,,
Arvicanthis ansorgei,Rodentia,Muridae,Arvicanthis,ansorgei,Sudanian Arvicanthis,Diurnal,Diurnal,1,0,0,1,,
Arvicanthis blicki,Rodentia,Muridae,Arvicanthis,blicki,Blick's Grass Rat,Diurnal,Diurnal,1,0,0,1,,
Arvicanthis nairobae,Rodentia,Muridae,Arvicanthis,nairobae,Nairobi Grass Rat,Diurnal,Diurnal,1,0,0,1,,
Arvicanthis neumanni,Rodentia,Muridae,Arvicanthis,neumanni,Neumann's Arvicanthis,Diurnal,Diurnal,1,1,1,1,,
Arvicanthis niloticus,Rodentia,Muridae,Arvicanthis,niloticus,African Grass Rat,Diurnal,Diurnal,1,0,0,1,,
Arvicanthis rufinus,Rodentia,Muridae,Arvicanthis,rufinus,Guinean Arvicanthis,Diurnal,Diurnal,1,0,0,1,,
Arvicola amphibius,Rodentia,Cricetidae,Arvicola,amphibius,European Water Vole,Cathemeral,Cathemeral,1,0,0,1,,
Arvicola sapidus,Rodentia,Cricetidae,Arvicola,sapidus,Southern Water Vole,Cathemeral,Cathemeral,1,1,1,1,,
Arvicola scherman,Rodentia,Cricetidae,Arvicola,scherman,Montane Water Vole,NA,Nocturnal,Imputed,NA,0,Imputed,,
Asellia patrizii,Chiroptera,Hipposideridae,Asellia,patrizii,Patrizi's Trident Leaf-nosed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Asellia tridens,Chiroptera,Hipposideridae,Asellia,tridens,Geoffroy's Trident Leaf-nosed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Aselliscus stoliczkanus,Chiroptera,Hipposideridae,Aselliscus,stoliczkanus,Stoliczka's Asian Trident Bat,Nocturnal,Nocturnal,1,0,0,1,,
Aselliscus tricuspidatus,Chiroptera,Hipposideridae,Aselliscus,tricuspidatus,Trident Leaf-nosed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Atelerix albiventris,Eulipotyphla,Erinaceidae,Atelerix,albiventris,Four-toed Hedgehog,Nocturnal,Nocturnal,1,1,1,1,,
Atelerix algirus,Eulipotyphla,Erinaceidae,Atelerix,algirus,North African Hedgehog,Nocturnal,Nocturnal,1,0,0,1,,
Atelerix frontalis,Eulipotyphla,Erinaceidae,Atelerix,frontalis,Southern African Hedgehog,Nocturnal,Nocturnal,1,0,0,1,,
Atelerix sclateri,Eulipotyphla,Erinaceidae,Atelerix,sclateri,Somali Hedgehog,Nocturnal,Nocturnal,1,0,0,1,,
Ateles belzebuth,Primates,Atelidae,Ateles,belzebuth,White-bellied Spider Monkey,Diurnal,Diurnal,1,0,0,1,,
Ateles chamek,Primates,Atelidae,Ateles,chamek,Black-faced Black Spider Monkey,Diurnal,Diurnal,1,0,0,1,,
Ateles fusciceps,Primates,Atelidae,Ateles,fusciceps,Brown-headed Spider Monkey,Diurnal,Diurnal,2,0,0,1,,
Ateles geoffroyi,Primates,Atelidae,Ateles,geoffroyi,Geoffroy's Spider Monkey,Diurnal,Diurnal,1,0,0,1,,
Ateles hybridus,Primates,Atelidae,Ateles,hybridus,Variegated Spider Monkey,Diurnal,Diurnal,1,0,0,1,,
Ateles marginatus,Primates,Atelidae,Ateles,marginatus,White-cheeked Spider Monkey,Diurnal,Diurnal,1,0,0,1,,
Ateles paniscus,Primates,Atelidae,Ateles,paniscus,Guiana Spider Monkey,Diurnal,Diurnal,1,0,0,1,,
Atelocynus microtis,Carnivora,Canidae,Atelocynus,microtis,Short-eared Dog,Diurnal,Diurnal,1,1,1,1,,
Atherurus africanus,Rodentia,Hystricidae,Atherurus,africanus,African Brush-tailed Porcupine,Nocturnal,Nocturnal,1,0,0,1,,
Atherurus macrourus,Rodentia,Hystricidae,Atherurus,macrourus,Asiatic Brush-tailed Porcupine,Nocturnal,Nocturnal,1,0,0,1,,
Atilax paludinosus,Carnivora,Herpestidae,Atilax,paludinosus,Marsh Mongoose,Nocturnal,Nocturnal,1,1,1,1,,
Atlantoxerus getulus,Rodentia,Sciuridae,Atlantoxerus,getulus,Barbary Ground Squirrel,Diurnal,Diurnal,1,0,0,1,,
Auliscomys boliviensis,Rodentia,Cricetidae,Auliscomys,boliviensis,Bolivian Big-eared Mouse,Diurnal,Diurnal,1,0,0,1,,
Auliscomys pictus,Rodentia,Cricetidae,Auliscomys,pictus,Painted Big-eared Mouse,Cathemeral,Cathemeral,1,0,0,1,,
Auliscomys sublimis,Rodentia,Cricetidae,Auliscomys,sublimis,Andean Big-eared Mouse,Nocturnal,Nocturnal,1,0,0,1,,
Austronomus australis,Chiroptera,Molossidae,Austronomus,australis,White-striped Free-tailed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Austronomus kuboriensis,Chiroptera,Molossidae,Austronomus,kuboriensis,New Guinea Free-tailed Bat,Nocturnal,Nocturnal,1,0,0,1,,
Avahi betsileo,Primates,Indriidae,Avahi,betsileo,Betsileo Woolly Lemur,Nocturnal,Nocturnal,1,0,0,1,,
Avahi cleesei,Primates,Indriidae,Avahi,cleesei,Bemaraha Woolly Lemur,Nocturnal,Nocturnal,1,0,0,1,,
Avahi laniger,Primates,Indriidae,Avahi,laniger,Eastern Woolly Lemur,Nocturnal,Nocturnal,1,0,0,1,,
Avahi meridionalis,Primates,Indriidae,Avahi,meridionalis,Southern Woolly Lemur,Nocturnal,Nocturnal,1,0,0,1,,
Avahi mooreorum,Primates,Indriidae,Avahi,mooreorum,Moore's Woolly Lemur,Nocturnal,Nocturnal,1,0,0,1,,
Avahi occidentalis,Primates,Indriidae,Avahi,occidentalis,Lorenz Von Liburnau's Woolly Lemur,Nocturnal,Nocturnal,1,0,0,1,,
Avahi peyrierasi,Primates,Indriidae,Avahi,peyrierasi,Peyrieras' Woolly Lemur,Nocturnal,Nocturnal,1,0,0,1,,
Avahi ramanantsoavanai,Primates,Indriidae,Avahi,ramanantsoavanai,Ramantsoavana's Southern Woolly Lemur,Nocturnal,Nocturnal,1,0,0,1,,
Avahi unicolor,Primates,Indriidae,Avahi,unicolor,Sambirano Woolly Lemur,Nocturnal,Nocturnal,1,0,0,1,,
Axis axis,Cetartiodactyla,Cervidae,Axis,axis,Chital,Crepuscular,Crepuscular,1,1,1,42,,
Axis calamianensis,Cetartiodactyla,Cervidae,Axis,calamianensis,Calamian Deer,Diurnal,Diurnal,1,1,1,1,,
Axis kuhlii,Cetartiodactyla,Cervidae,Axis,kuhlii,Bawean Deer,Diurnal,Diurnal,1,1,1,1,,
Axis porcinus,Cetartiodactyla,Cervidae,Axis,porcinus,Hog Deer,Crepuscular,Crepuscular,1,1,1,1,,
Babyrousa babyrussa,Cetartiodactyla,Suidae,Babyrousa,babyrussa,Hairy Babirusa,Diurnal,Diurnal,1,0,0,1,,
Babyrousa celebensis,Cetartiodactyla,Suidae,Babyrousa,celebensis,Sulawesi Babirusa,Diurnal,Diurnal,1,0,0,1,,
Babyrousa togeanensis,Cetartiodactyla,Suidae,Babyrousa,togeanensis,Togian Islands Babirusa,Diurnal,Diurnal,1,1,1,1,,
Baiomys musculus,Rodentia,Cricetidae,Baiomys,musculus,Southern Pygmy Mouse,Diurnal,Diurnal,1,1,1,1,,
Baiomys taylori,Rodentia,Cricetidae,Baiomys,taylori,Northern Pygmy Mouse,Nocturnal,Nocturnal,1,1,1,1,,
Baiyankamys habbema,Rodentia,Muridae,Baiyankamys,habbema,Mountain Water Rat,Nocturnal,Nocturnal,1,0,0,1,,
Baiyankamys shawmayeri,Rodentia,Muridae,Baiyankamys,shawmayeri,Shaw Mayer's Water Rat,Nocturnal,Nocturnal,1,0,0,1,,
Balantiopteryx infusca,Chiroptera,Emballonuridae,Balantiopteryx,infusca,Ecuadorian Sac-winged Bat,Nocturnal,Nocturnal,1,0,0,1,,
Balantiopteryx io,Chiroptera,Emballonuridae,Balantiopteryx,io,Thomas's Sac-winged Bat,Nocturnal,Nocturnal,1,0,0,1,,
Balantiopteryx plicata,Chiroptera,Emballonuridae,Balantiopteryx,plicata,Gray Sac-winged Bat,Nocturnal,Crepuscular,1,0,0,1,,
Balionycteris maculata,Chiroptera,Pteropodidae,Balionycteris,maculata,Spotted-winged Fruit Bat,Nocturnal,Nocturnal,1,0,0,1,,
Bandicota bengalensis,Rodentia,Muridae,Bandicota,bengalensis,Lesser Bandicoot Rat,Nocturnal,Nocturnal,1,0,0,1,,
Barbastella barbastellus,Chiroptera,Vespertilionidae,Barbastella,barbastellus,Western Barbastelle,Nocturnal,Nocturnal,1,0,0,1,,
Barbastella leucomelas,Chiroptera,Vespertilionidae,Barbastella,leucomelas,Eastern Barbastelle,Nocturnal,Nocturnal,1,0,0,1,,
Bassaricyon alleni,Carnivora,Procyonidae,Bassaricyon,alleni,Eastern Lowland Olingo,Nocturnal,Nocturnal,1,1,1,1,,
Bassaricyon gabbii,Carnivora,Procyonidae,Bassaricyon,gabbii,Northern Olingo,Nocturnal,Nocturnal,1,1,1,1,,
Bassaricyon medius,Carnivora,Procyonidae,Bassaricyon,medius,Western Lowland Olingo,Nocturnal,Nocturnal,17,0,0,1,,
Bassaricyon neblina,Carnivora,Procyonidae,Bassaricyon,neblina,Olinguito,Nocturnal,Nocturnal,17,0,0,1,,
Bassariscus astutus,Carnivora,Procyonidae,Bassariscus,astutus,Ringtail,Nocturnal,Nocturnal,17,0,0,1,,
Bassariscus sumichrasti,Carnivora,Procyonidae,Bassariscus,sumichrasti,Cacomistle,Nocturnal,Nocturnal,1,1,1,1,,
Batomys dentatus,Rodentia,Muridae,Batomys,dentatus,Large-toothed Batomys,Nocturnal,Nocturnal,1,0,0,1,,
Batomys granti,Rodentia,Muridae,Batomys,granti,Cordillera Hairy Tailed Rat,Nocturnal,Nocturnal,1,0,0,1,,
Batomys russatus,Rodentia,Muridae,Batomys,russatus,Russet Batomys,Nocturnal,Nocturnal,1,0,0,1,,
Batomys salomonseni,Rodentia,Muridae,Batomys,salomonseni,Mindanao Batomys,Nocturnal,Nocturnal,1,1,1,1,,
Bauerus dubiaquercus,Chiroptera,Vespertilionidae,Bauerus,dubiaquercus,Van Gelder's Bat,Nocturnal,Nocturnal,1,0,0,1,,
Bdeogale crassicauda,Carnivora,Herpestidae,Bdeogale,crassicauda,Bushy-tailed Mongoose,Nocturnal,Nocturnal,1,0,0,1,,
Bdeogale jacksoni,Carnivora,Herpestidae,Bdeogale,jacksoni,Jackson's Mongoose,Nocturnal,Nocturnal,1,0,0,1,,
Bdeogale nigripes,Carnivora,Herpestidae,Bdeogale,nigripes,Black-legged Mongoose,Nocturnal,Nocturnal,1,0,0,1,,
Bdeogale omnivora,Carnivora,Herpestidae,Bdeogale,omnivora,Sokoke Dog Mongoose,Nocturnal,Nocturnal,1,0,0,1,,
Beamys hindei,Rodentia,Nesomyidae,Beamys,hindei,Long-tailed Pouched Rat,Nocturnal,Nocturnal,1,0,0,1,,
Beatragus hunteri,Cetartiodactyla,Bovidae,Beatragus,hunteri,Hirola,Crepuscular,Crepuscular,12,0,0,1,,
Belomys pearsonii,Rodentia,Sciuridae,Belomys,pearsonii,Hairy-footed Flying Squirrel,Nocturnal,Nocturnal,1,0,0,1,,
Berylmys berdmorei,Rodentia,Muridae,Berylmys,berdmorei,Berdmore's Berylmys,Nocturnal,Nocturnal,1,0,0,1,,
Berylmys bowersi,Rodentia,Muridae,Berylmys,bowersi,Bower's White-toothed Rat,Nocturnal,Nocturnal,1,0,0,1,,
Berylmys manipulus,Rodentia,Muridae,Berylmys,manipulus,Manipur White-toothed Rat,Nocturnal,Nocturnal,1,0,0,1,,
Bettongia gaimardi,Diprotodontia,Potoroidae,Bettongia,gaimardi,Tasmanian Bettong,Nocturnal,Nocturnal,1,0,0,1,,
Bettongia lesueur,Diprotodontia,Potoroidae,Bettongia,lesueur,Burrowing Bettong,Nocturnal,Nocturnal,1,0,0,1,,
Bettongia penicillata,Diprotodontia,Potoroidae,Bettongia,penicillata,Woylie,Nocturnal,Nocturnal,1,0,0,1,,
Bettongia tropica,Diprotodontia,Potoroidae,Bettongia,tropica,Northern Bettong,Nocturnal,Nocturnal,1,0,0,1,,
Bibimys chacoensis,Rodentia,Cricetidae,Bibimys,chacoensis,Chaco Crimson-nosed Rat,Nocturnal,Nocturnal,1,0,0,1,,
Bibimys labiosus,Rodentia,Cricetidae,Bibimys,labiosus,Large-lipped Crimson-nosed Rat,Nocturnal,Nocturnal,1,0,0,1,,
Bibimys torresi,Rodentia,Cricetidae,Bibimys,torresi,Torres's Crimson-nosed Rat,Nocturnal,Nocturnal,1,0,0,1,,
Bison bison,Cetartiodactyla,Bovidae,Bison,bison,American Bison,Cathemeral,Cathemeral,1,0,0,1,,
Bison bonasus,Cetartiodactyla,Bovidae,Bison,bonasus,European Bison,Cathemeral,Cathemeral,1,0,0,1,,
Biswamoyopterus biswasi,Rodentia,Sciuridae,Biswamoyopterus,biswasi,Namdapha Flying Squirrel,Crepuscular,Crepuscular,1,0,0,1,,
Blanfordimys afghanus,Rodentia,Cricetidae,Blanfordimys,afghanus,Afghan Vole,Diurnal,Diurnal,1,0,0,1,,
Blanfordimys bucharensis,Rodentia,Cricetidae,Blanfordimys,bucharensis,Bucharian Vole,Cathemeral,Cathemeral,1,0,0,1,,
Blarina brevicauda,Eulipotyphla,Soricidae,Blarina,brevicauda,Northern Short-tailed Shrew,Nocturnal,Nocturnal,1,0,0,1,,
Blarina carolinensis,Eulipotyphla,Soricidae,Blarina,carolinensis,Southern Short-tailed Shrew,Nocturnal,Nocturnal,1,1,1,1,,
Blarina hylophaga,Eulipotyphla,Soricidae,Blarina,hylophaga,Elliot's Short-tailed Shrew,Crepuscular,Crepuscular,1,1,1,1,,
Blarinella griselda,Eulipotyphla,Soricidae,Blarinella,griselda,Indochinese Short-tailed Shrew,Nocturnal,Nocturnal,1,0,0,1,,
Blarinella quadraticauda,Eulipotyphla,Soricidae,Blarinella,quadraticauda,Asiatic Short-tailed Shrew,Nocturnal,Nocturnal,1,0,0,1,,
Blarinella wardi,Eulipotyphla,Soricidae,Blarinella,wardi,Burmese Short-tailed Shrew,Nocturnal,Nocturnal,1,0,0,1,,
Blastocerus dichotomus,Cetartiodactyla,Cervidae,Blastocerus,dichotomus,Marsh Deer,Nocturnal,Nocturnal,1,1,1,1,,
Bos gaurus,Cetartiodactyla,Bovidae,Bos,gaurus,Gaur,Cathemeral,Cathemeral,1,1,1,1,,
Bos javanicus,Cetartiodactyla,Bovidae,Bos,javanicus,Banteng,Cathemeral,Cathemeral,1,1,1,1,,
Bos mutus,Cetartiodactyla,Bovidae,Bos,mutus,Wild Yak,Cathemeral,Cathemeral,5,0,0,1,,
Bos sauveli,Cetartiodactyla,Bovidae,Bos,sauveli,Kouprey,Cathemeral,Cathemeral,1,0,0,1,,
Boselaphus tragocamelus,Cetartiodactyla,Bovidae,Boselaphus,tragocamelus,Nilgai,Crepuscular,Crepuscular,1,1,1,1,,
Brachiones przewalskii,Rodentia,Muridae,Brachiones,przewalskii,Przewalski's Jird,Nocturnal,Nocturnal,1,0,0,1,,
Brachylagus idahoensis,Lagomorpha,Leporidae,Brachylagus,idahoensis,Pygmy Rabbit,Crepuscular,Crepuscular,1,1,1,1,,
Brachyphylla cavernarum,Chiroptera,Phyllostomidae,Brachyphylla,cavernarum,Antillean Fruit-eating Bat,Nocturnal,Nocturnal,1,0,0,1,,
Brachyphylla nana,Chiroptera,Phyllostomidae,Brachyphylla,nana,Cuban Fruit-eating Bat,Nocturnal,Nocturnal,1,0,0,1,,
Brachytarsomys albicauda,Rodentia,Nesomyidae,Brachytarsomys,albicauda,White-tailed Tree Rat,Nocturnal,Nocturnal,1,0,0,1,,
Brachytarsomys villosa,Rodentia,Nesomyidae,Brachytarsomys,villosa,Hairy-tailed Tree Rat,Nocturnal,Nocturnal,1,0,0,1,,
Brachyteles arachnoides,Primates,Atelidae,Brachyteles,arachnoides,Southern Muriqui,Diurnal,Diurnal,1,0,0,1,,
Brachyteles hypoxanthus,Primates,Atelidae,Brachyteles,hypoxanthus,Northern Muriqui,Diurnal,Diurnal,1,0,0,1,,
Brachyuromys betsileoensis,Rodentia,Nesomyidae,Brachyuromys,betsileoensis,Betsileo Short-tailed Rat,Cathemeral,Cathemeral,1,0,0,1,,
