Species,state
Lyriocephalus_scutatus,0
Moloch_horridus,0
Otocryptis_wiegmanni,0
Phrynocephalus_interscapularis,0
Phrynocephalus_raddei,0
Physignathus_cocincinus,0
Physignathus_lesueurii,0
Pogona_vitticeps,0
Pseudotrapelus_sinaitus,0
Sitana_ponticeriana,0
Trapelus_ruderatus,0
Trapelus_sanguinolentus,0
Trapelus_savignii,0
Tympanocryptis_lineata,0
Uromastyx_hardwickii,0
Bradypodion_pumilum,0
Brookesia_brygooi,0
Chamaeleo_calyptratus,0
Kinyongia_fischeri,0
Furcifer_oustaleti,0
Rieppeleon_brevicaudatus,0
Rhampholeon_spectrum,0
Amphisbaena_alba,1
Geocalamus_acutus,0
Bipes_biporus,0
Bipes_canaliculatus,0
Blanus_cinereus,0
Diplometopon_zarudnyi,1
Trogonophis_wiegmanni,0
Abronia_oaxacae,0
Anguis_fragilis,0
Anniella_pulchra,0
Barisia_imbricata,0
Diploglossus_bilobatus,0
Elgaria_coerulea,0
Elgaria_kingii,0
Elgaria_multicarinata,0
Elgaria_panamintina,0
Ophiodes_striatus,0
Pseudopus_apodus,0
Ophisaurus_attenuatus,0
Ophisaurus_ventralis,0
Heloderma_suspectum,1
Varanus_acanthurus,0
Varanus_bengalensis,0
Varanus_eremius,0
Varanus_giganteus,0
Varanus_gilleni,0
Varanus_griseus,0
Varanus_indicus,0
Varanus_prasinus,0
Varanus_salvator,0
Varanus_spenceri,0
Varanus_varius,0
Xenosaurus_grandis,0
Anelytropsis_papillosus,1
Dibamus_novaeguineae,1
Carphodactylus_laevis,1
Underwoodisaurus_milii,1
Phyllurus_platurus,1
Diplodactylus_conspicillatus,1
Lucasium_damaeum,1
Oedura_marmorata,1
Pseudothecadactylus_lindneri,1
Rhacodactylus_ciliatus,1
Aeluroscalabotes_felinus,1
Coleonyx_brevis,1
Coleonyx_mitratus,1
Coleonyx_variegatus,1
Eublepharis_macularius,1
Goniurosaurus_araneus,1
Goniurosaurus_luii,1
Hemitheconyx_caudicinctus,1
Holodactylus_africanus,1
Chondrodactylus_bibronii,1
Cnemaspis_limi,1
Cyrtopodion_scabrum,1
Ebenavia_inunguis,1
Hemidactylus_angulatus,1
Hemidactylus_flaviviridis,1
Hemidactylus_frenatus,1
Hemidactylus_haitianus,1
Hemidactylus_longicephalus,1
Hemidactylus_mabouia,1
Hemidactylus_macropholis,1
Hemidactylus_palaichthus,1
Hemidactylus_robustus,1
Hemidactylus_turcicus,1
Lepidodactylus_lugubris,1
Lygodactylus_bradfieldi,0
Lygodactylus_klugei,0
Lygodactylus_miops,0
Lygodactylus_mirabilis,0
Lygodactylus_tolampyae,0
Narudasia_festiva,0
Pachydactylus_punctatus,1
Paroedura_masobe,1
Paroedura_picta,1
Phelsuma_borbonica,0
Phelsuma_madagascariensis,0
Phelsuma_modesta,0
Phelsuma_ocellata,0
Rhoptropus_boultoni,0
Uroplatus_henkeli,1
